Date,Event,Actual,Forecast,Previous
mar05.2009,US Natural Gas Storage,-102B,-95B,-101B
mar06.2009,US Average Hourly Earnings m/m,0.2%,0.3%,0.2%
mar06.2009,US Non-Farm Employment Change,-651K,-647K,-655K
mar06.2009,US Unemployment Rate,8.1%,7.9%,7.6%
mar11.2009,US Crude Oil Inventories,0.7M,0.1M,-0.7M
mar11.2009,US Distillate Inventories,2.1M,0.2M,1.7M
mar11.2009,US Gasoline Inventories,-3.0M,-1.0M,0.2M
mar12.2009,US Retail Sales m/m,-0.1%,-0.5%,1.8%
mar12.2009,US Natural Gas Storage,-112B,-104B,-102B
mar13.2009,CA Employment Change,-82.6K,-50.5K,-129.0K
mar13.2009,CA Unemployment Rate,7.7%,7.4%,7.2%
mar13.2009,US Trade Balance,-36.0B,-38.3B,-39.9B
mar16.2009,US Capacity Utilization Rate,70.9%,71.1%,71.9%
mar16.2009,US Industrial Production m/m,-1.4%,-1.2%,-1.9%
mar18.2009,US Core CPI m/m,0.2%,0.1%,0.2%
mar18.2009,US CPI m/m,0.4%,0.3%,0.3%
mar18.2009,US Crude Oil Inventories,2.0M,1.2M,0.7M
mar18.2009,US Distillate Inventories,0.1M,1.1M,2.1M
mar18.2009,US Gasoline Inventories,3.2M,-1.4M,-3.0M
mar19.2009,US Natural Gas Storage,-30B,-26B,-112B
mar25.2009,US Crude Oil Inventories,3.3M,1.2M,2.0M
mar25.2009,US Distillate Inventories,-1.6M,-0.1M,0.1M
mar25.2009,US Gasoline Inventories,-1.1M,-0.7M,3.2M
mar26.2009,US Natural Gas Storage,3B,-10B,-30B
mar30.2009,EZ Consumer Confidence,-34,-33,-33
apr01.2009,US ISM Manufacturing PMI,36.3,35.8,35.8
apr01.2009,US Crude Oil Inventories,2.8M,3.1M,3.3M
apr01.2009,US Distillate Inventories,0.2M,-1.2M,-1.6M
apr01.2009,US Gasoline Inventories,2.2M,-1.5M,-1.1M
apr02.2009,US Factory Orders m/m,1.8%,1.5%,-3.5%
apr02.2009,US Natural Gas Storage,0B,-1B,3B
apr03.2009,US Average Hourly Earnings m/m,0.2%,0.2%,0.2%
apr03.2009,US Non-Farm Employment Change,-663K,-659K,-651K
apr03.2009,US Unemployment Rate,8.5%,8.5%,8.1%
apr03.2009,US ISM Services PMI,40.8,41.9,41.6
apr08.2009,US Crude Oil Inventories,1.7M,1.6M,2.8M
apr08.2009,US Distillate Inventories,-3.4M,-0.6M,0.2M
apr08.2009,US Gasoline Inventories,0.7M,-1.3M,2.2M
apr09.2009,CA Employment Change,-61.3K,-50.2K,-82.6K
apr09.2009,CA Unemployment Rate,8.0%,8.0%,7.7%
apr09.2009,US Trade Balance,-26.0B,-36.6B,-36.2B
apr09.2009,US Natural Gas Storage,20B,12B,0B
apr14.2009,US Retail Sales m/m,-1.1%,0.3%,0.3%
apr15.2009,US Core CPI m/m,0.2%,0.1%,0.2%
apr15.2009,US CPI m/m,-0.1%,0.1%,0.4%
apr15.2009,US Capacity Utilization Rate,69.3%,69.7%,70.3%
apr15.2009,US Industrial Production m/m,-1.5%,-0.9%,-1.5%
apr15.2009,US Crude Oil Inventories,5.6M,2.0M,1.7M
apr15.2009,US Distillate Inventories,-1.2M,-1.0M,-3.4M
apr15.2009,US Gasoline Inventories,-0.9M,-0.5M,0.7M
apr16.2009,US Natural Gas Storage,21B,18B,20B
apr22.2009,US Crude Oil Inventories,3.9M,2.3M,5.6M
apr22.2009,US Distillate Inventories,2.7M,-1.0M,-1.2M
apr22.2009,US Gasoline Inventories,0.8M,-0.7M,-0.9M
apr23.2009,US Natural Gas Storage,46B,40B,21B
apr29.2009,EZ Consumer Confidence,-31,-33,-34
apr29.2009,US Advance GDP q/q,-6.1%,-4.8%,-6.3%
apr29.2009,US Crude Oil Inventories,4.1M,1.8M,3.9M
apr29.2009,US Distillate Inventories,1.8M,1.0M,2.7M
apr29.2009,US Gasoline Inventories,-4.7M,0.2M,0.8M
apr30.2009,US Natural Gas Storage,82B,82B,46B
may01.2009,US Factory Orders m/m,-0.9%,-0.7%,0.7%
may01.2009,US ISM Manufacturing PMI,40.1,38.4,36.3
may05.2009,US ISM Services PMI,43.7,42.5,40.8
may06.2009,US Crude Oil Inventories,0.6M,2.4M,4.1M
may06.2009,US Distillate Inventories,2.4M,0.9M,1.8M
may06.2009,US Gasoline Inventories,-0.2M,0.5M,-4.7M
may07.2009,US Natural Gas Storage,95B,94B,82B
may08.2009,CA Employment Change,35.9K,-48.5K,-61.3K
may08.2009,CA Unemployment Rate,8.0%,8.3%,8.0%
may08.2009,US Average Hourly Earnings m/m,0.1%,0.2%,0.2%
may08.2009,US Non-Farm Employment Change,-539K,-590K,-699K
may08.2009,US Unemployment Rate,8.9%,8.9%,8.5%
may12.2009,US Trade Balance,-27.6B,-29.2B,-26.1B
may13.2009,US Retail Sales m/m,-0.4%,0.0%,-1.3%
may13.2009,US Crude Oil Inventories,-4.7M,1.1M,0.6M
may13.2009,US Distillate Inventories,0.9M,1.3M,2.4M
may13.2009,US Gasoline Inventories,-4.2M,0.0M,-0.2M
may14.2009,US Natural Gas Storage,95B,100B,95B
may15.2009,US Core CPI m/m,0.3%,0.1%,0.2%
may15.2009,US CPI m/m,0.0%,0.0%,-0.1%
may15.2009,US Capacity Utilization Rate,69.1%,68.9%,69.4%
may15.2009,US Industrial Production m/m,-0.5%,-0.5%,-1.7%
may20.2009,US Crude Oil Inventories,-2.1M,-1.3M,-4.7M
may20.2009,US Distillate Inventories,0.7M,1.2M,0.9M
may20.2009,US Gasoline Inventories,-4.3M,-1.2M,-4.2M
may21.2009,US Natural Gas Storage,103B,95B,95B
may28.2009,EZ Consumer Confidence,-31,-30,-31
may28.2009,US Natural Gas Storage,106B,114B,103B
may28.2009,US Crude Oil Inventories,-5.4M,-0.1M,-2.1M
may28.2009,US Distillate Inventories,0.2M,1.0M,0.7M
may28.2009,US Gasoline Inventories,-0.5M,-1.3M,-4.3M
jun01.2009,US ISM Manufacturing PMI,42.8,42.2,40.1
jun03.2009,US Factory Orders m/m,0.7%,0.9%,-1.9%
jun03.2009,US ISM Services PMI,44.0,45.1,43.7
jun03.2009,US Crude Oil Inventories,2.9M,-1.6M,-5.4M
jun03.2009,US Distillate Inventories,1.7M,0.9M,0.2M
jun03.2009,US Gasoline Inventories,-0.2M,0.6M,-0.5M
jun04.2009,US Natural Gas Storage,124B,116B,106B
jun05.2009,CA Employment Change,-41.8K,-36.4K,35.9K
jun05.2009,CA Unemployment Rate,8.4%,8.2%,8.0%
jun05.2009,US Average Hourly Earnings m/m,0.1%,0.2%,0.1%
jun05.2009,US Non-Farm Employment Change,-345K,-520K,-504K
jun05.2009,US Unemployment Rate,9.4%,9.2%,8.9%
jun10.2009,US Trade Balance,-29.2B,-28.8B,-28.5B
jun10.2009,US Crude Oil Inventories,-4.4M,0.1M,2.9M
jun10.2009,US Distillate Inventories,-0.3M,1.4M,1.7M
jun10.2009,US Gasoline Inventories,-1.6M,0.8M,-0.2M
jun11.2009,US Retail Sales m/m,0.5%,0.4%,-0.2%
jun11.2009,US Natural Gas Storage,106B,110B,124B
jun16.2009,US Capacity Utilization Rate,68.3%,68.5%,69.0%
jun16.2009,US Industrial Production m/m,-1.1%,-0.7%,-0.7%
jun17.2009,US Core CPI m/m,0.1%,0.1%,0.3%
jun17.2009,US CPI m/m,0.1%,0.3%,0.0%
jun17.2009,US Crude Oil Inventories,-3.9M,-1.8M,-4.4M
jun17.2009,US Distillate Inventories,0.3M,0.9M,-0.3M
jun17.2009,US Gasoline Inventories,3.4M,0.5M,-1.6M
jun18.2009,US Natural Gas Storage,114B,104B,106B
jun24.2009,US Crude Oil Inventories,-3.8M,-1.1M,-3.9M
jun24.2009,US Distillate Inventories,2.1M,0.9M,0.3M
jun24.2009,US Gasoline Inventories,3.9M,0.5M,3.4M
jun25.2009,US Natural Gas Storage,94B,101B,114B
jun29.2009,EZ Consumer Confidence,-25,-29,-28
jul01.2009,US ISM Manufacturing PMI,44.8,44.5,42.8
jul01.2009,US Crude Oil Inventories,-3.7M,-1.8M,-3.8M
jul01.2009,US Distillate Inventories,2.9M,1.5M,2.1M
jul01.2009,US Gasoline Inventories,2.3M,2.0M,3.9M
jul02.2009,US Average Hourly Earnings m/m,0.0%,0.2%,0.2%
jul02.2009,US Non-Farm Employment Change,-467K,-360K,-322K
jul02.2009,US Unemployment Rate,9.5%,9.6%,9.4%
jul02.2009,US Factory Orders m/m,1.2%,0.7%,0.5%
jul02.2009,US Natural Gas Storage,70B,74B,94B
jul06.2009,US ISM Services PMI,47.0,45.9,44.0
jul08.2009,US Crude Oil Inventories,-2.9M,-2.8M,-3.7M
jul08.2009,US Distillate Inventories,3.7M,1.8M,2.9M
jul08.2009,US Gasoline Inventories,1.9M,0.9M,2.3M
jul09.2009,US Natural Gas Storage,75B,85B,70B
jul10.2009,CA Employment Change,-7.4K,-34.6K,-41.8K
jul10.2009,CA Unemployment Rate,8.6%,8.7%,8.4%
jul10.2009,US Trade Balance,-26.0B,-30.0B,-28.8B
jul14.2009,US Retail Sales m/m,0.6%,0.4%,0.5%
jul15.2009,US Core CPI m/m,0.2%,0.2%,0.1%
jul15.2009,US CPI m/m,0.7%,0.6%,0.1%
jul15.2009,US Capacity Utilization Rate,68.0%,67.8%,68.2%
jul15.2009,US Industrial Production m/m,-0.4%,-0.6%,-1.2%
jul15.2009,US Crude Oil Inventories,-2.8M,-1.9M,-2.9M
jul15.2009,US Distillate Inventories,0.6M,2.0M,3.7M
jul15.2009,US Gasoline Inventories,1.4M,0.9M,1.9M
jul16.2009,US Natural Gas Storage,90B,93B,75B
jul22.2009,US Crude Oil Inventories,-1.8M,-1.9M,-2.8M
jul22.2009,US Distillate Inventories,1.2M,1.5M,0.6M
jul22.2009,US Gasoline Inventories,0.8M,0.6M,1.4M
jul23.2009,US Natural Gas Storage,66B,63B,90B
jul29.2009,US Crude Oil Inventories,5.1M,-1.1M,-1.8M
jul29.2009,US Distillate Inventories,2.1M,1.0M,1.2M
jul29.2009,US Gasoline Inventories,-2.3M,0.0M,0.8M
jul30.2009,EZ Consumer Confidence,-23,-24,-25
jul30.2009,US Natural Gas Storage,71B,71B,66B
jul31.2009,US Advance GDP q/q,-1.0%,-1.4%,-5.5%
aug03.2009,US ISM Manufacturing PMI,48.9,46.4,44.8
aug05.2009,US Factory Orders m/m,0.4%,-0.7%,1.1%
aug05.2009,US ISM Services PMI,46.4,48.1,47.0
aug05.2009,US Crude Oil Inventories,1.7M,0.9M,5.1M
aug05.2009,US Distillate Inventories,-1.1M,1.2M,2.1M
aug05.2009,US Gasoline Inventories,-0.2M,-0.8M,-2.3M
aug06.2009,US Natural Gas Storage,66B,60B,71B
aug07.2009,CA Employment Change,-44.5K,-19.0K,-7.4K
aug07.2009,CA Unemployment Rate,8.6%,8.8%,8.6%
aug07.2009,US Average Hourly Earnings m/m,0.2%,0.1%,0.0%
aug07.2009,US Non-Farm Employment Change,-247K,-320K,-443K
aug07.2009,US Unemployment Rate,9.4%,9.6%,9.5%
aug12.2009,US Trade Balance,-27.0B,-28.4B,-26.0B
aug12.2009,US Crude Oil Inventories,2.5M,0.7M,1.7M
aug12.2009,US Distillate Inventories,0.8M,0.2M,-1.1M
aug12.2009,US Gasoline Inventories,-0.9M,-1.2M,-0.2M
aug13.2009,US Retail Sales m/m,-0.1%,0.8%,0.8%
aug13.2009,US Natural Gas Storage,63B,71B,66B
aug14.2009,US Core CPI m/m,0.1%,0.1%,0.2%
aug14.2009,US CPI m/m,0.0%,0.0%,0.7%
aug14.2009,US Capacity Utilization Rate,68.5%,68.2%,68.1%
aug14.2009,US Industrial Production m/m,0.5%,0.4%,-0.4%
aug19.2009,US Crude Oil Inventories,-8.4M,1.1M,2.5M
aug19.2009,US Distillate Inventories,-0.7M,0.7M,0.8M
aug19.2009,US Gasoline Inventories,-1.7M,-0.8M,-0.9M
aug20.2009,US Natural Gas Storage,52B,57B,63B
aug26.2009,US Crude Oil Inventories,0.2M,-1.5M,-8.4M
aug26.2009,US Distillate Inventories,0.8M,0.4M,-0.7M
aug26.2009,US Gasoline Inventories,-1.7M,-0.8M,-1.7M
aug27.2009,US Natural Gas Storage,54B,53B,52B
aug28.2009,EZ Consumer Confidence,-22,-21,-23
sep01.2009,US ISM Manufacturing PMI,52.9,50.6,48.9
sep02.2009,US Factory Orders m/m,1.3%,2.3%,0.9%
sep02.2009,US Crude Oil Inventories,-0.4M,-0.8M,0.2M
sep02.2009,US Distillate Inventories,1.2M,0.7M,0.8M
sep02.2009,US Gasoline Inventories,-3.0M,-0.9M,-1.7M
sep03.2009,US ISM Services PMI,48.4,48.3,46.4
sep03.2009,US Natural Gas Storage,65B,67B,54B
sep04.2009,CA Employment Change,27.1K,-12.4K,-44.5K
sep04.2009,CA Unemployment Rate,8.7%,8.7%,8.6%
sep04.2009,US Average Hourly Earnings m/m,0.3%,0.1%,0.3%
sep04.2009,US Non-Farm Employment Change,-216K,-223K,-276K
sep04.2009,US Unemployment Rate,9.7%,9.5%,9.4%
sep10.2009,US Trade Balance,-32.0B,-27.1B,-27.5B
sep10.2009,US Natural Gas Storage,69B,77B,65B
sep10.2009,US Crude Oil Inventories,-5.9M,-1.5M,-0.4M
sep10.2009,US Distillate Inventories,2.0M,1.0M,1.2M
sep10.2009,US Gasoline Inventories,2.1M,-1.5M,-3.0M
jan03.2007,US ISM Manufacturing PMI,51.4,51.0,49.5
jan04.2007,US Factory Orders m/m,0.9%,1.5%,-4.5%
jan04.2007,US ISM Services PMI,57.1,58.0,58.9
jan04.2007,US Crude Oil Inventories,-1.3M,-2.0M,-8.1M
jan04.2007,US Distillate Inventories,2.0M,0.9M,0.5M
jan04.2007,US Gasoline Inventories,5.7M,1.5M,2.9M
jan05.2007,EZ Consumer Confidence,-6,-7,-7
jan05.2007,CA Employment Change,62.0K,17.0K,22.0K
jan05.2007,CA Unemployment Rate,6.1%,6.3%,6.3%
jan05.2007,US Average Hourly Earnings m/m,0.5%,0.3%,0.3%
jan05.2007,US Non-Farm Employment Change,167K,115K,132K
jan05.2007,US Unemployment Rate,4.5%,4.5%,4.5%
jan05.2007,US Natural Gas Storage,-47B,-60B,-46B
jan10.2007,US Trade Balance,-58.2B,-60.0B,-58.9B
jan10.2007,US Crude Oil Inventories,-5.0M,-1.5M,-1.3M
jan10.2007,US Distillate Inventories,5.4M,2.0M,2.0M
jan10.2007,US Gasoline Inventories,3.8M,2.5M,5.7M
jan11.2007,US Natural Gas Storage,-49B,-45B,-47B
jan12.2007,US Retail Sales m/m,0.9%,0.6%,1.0%
jan17.2007,US Capacity Utilization Rate,81.8%,81.8%,81.6%
jan17.2007,US Industrial Production m/m,0.4%,0.1%,-0.1%
jan18.2007,US Core CPI m/m,0.2%,0.2%,0.0%
jan18.2007,US CPI m/m,0.5%,0.5%,0.0%
jan18.2007,US Crude Oil Inventories,6.8M,0.1M,-5.0M
jan18.2007,US Distillate Inventories,0.9M,1.4M,5.4M
jan18.2007,US Gasoline Inventories,3.5M,2.5M,3.8M
jan18.2007,US Natural Gas Storage,-89B,-79B,-49B
jan24.2007,US Crude Oil Inventories,0.7M,1.3M,6.8M
jan24.2007,US Distillate Inventories,0.8M,-0.3M,0.9M
jan24.2007,US Gasoline Inventories,4.0M,1.5M,3.5M
jan25.2007,US Natural Gas Storage,-179B,-174B,-89B
jan31.2007,EZ Consumer Confidence,-7,-6,-6
jan31.2007,US Advance GDP q/q,3.5%,3.0%,2.0%
jan31.2007,US Crude Oil Inventories,2.7M,1.4M,0.7M
jan31.2007,US Distillate Inventories,-2.6M,-2.1M,0.8M
jan31.2007,US Gasoline Inventories,3.8M,1.8M,4.0M
feb01.2007,US ISM Manufacturing PMI,49.3,51.6,51.4
feb01.2007,US Natural Gas Storage,-186B,-201B,-179B
feb02.2007,US Average Hourly Earnings m/m,0.2%,0.4%,0.4%
feb02.2007,US Non-Farm Employment Change,111K,146K,206K
feb02.2007,US Unemployment Rate,4.6%,4.5%,4.5%
feb02.2007,US Factory Orders m/m,2.4%,1.6%,1.2%
feb05.2007,US ISM Services PMI,59.0,56.8,57.1
feb07.2007,US Crude Oil Inventories,-0.4M,2.0M,2.7M
feb07.2007,US Distillate Inventories,-3.6M,-3.0M,-2.6M
feb07.2007,US Gasoline Inventories,2.6M,1.6M,3.8M
feb08.2007,US Natural Gas Storage,-224B,-219B,-186B
feb09.2007,CA Employment Change,89.0K,25.0K,62.0K
feb09.2007,CA Unemployment Rate,6.2%,6.1%,6.1%
feb13.2007,US Trade Balance,-61.2B,-59.5B,-58.1B
feb14.2007,US Retail Sales m/m,0.0%,0.3%,1.2%
feb14.2007,US Crude Oil Inventories,-0.6M,1.0M,-0.4M
feb14.2007,US Distillate Inventories,-3.0M,-4.0M,-3.6M
feb14.2007,US Gasoline Inventories,-2.1M,2.0M,2.6M
feb15.2007,US Capacity Utilization Rate,81.2%,81.8%,81.8%
feb15.2007,US Industrial Production m/m,-0.5%,0.0%,0.5%
feb15.2007,US Natural Gas Storage,-259B,-254B,-224B
feb21.2007,US Core CPI m/m,0.3%,0.2%,0.2%
feb21.2007,US CPI m/m,0.2%,0.2%,0.5%
feb22.2007,US Crude Oil Inventories,3.7M,1.0M,-0.6M
feb22.2007,US Distillate Inventories,-5.0M,-2.8M,-3.0M
feb22.2007,US Gasoline Inventories,-3.0M,0.0M,-2.1M
feb22.2007,US Natural Gas Storage,-223B,-225B,-259B
feb28.2007,EZ Consumer Confidence,-5,-6,-7
feb28.2007,US Crude Oil Inventories,1.4M,2.1M,3.7M
feb28.2007,US Distillate Inventories,-3.8M,-2.6M,-5.0M
feb28.2007,US Gasoline Inventories,-1.9M,-1.5M,-3.0M
mar01.2007,US Natural Gas Storage,-132B,-142B,-223B
mar01.2007,US ISM Manufacturing PMI,52.3,50.0,49.3
mar05.2007,US ISM Services PMI,54.3,57.2,59.0
mar06.2007,US Factory Orders m/m,-5.6%,-4.3%,2.6%
mar07.2007,US Crude Oil Inventories,-4.8M,1.8M,1.4M
mar07.2007,US Distillate Inventories,-1.3M,-2.8M,-3.8M
mar07.2007,US Gasoline Inventories,-3.8M,-1.5M,-1.9M
mar08.2007,US Natural Gas Storage,-102B,-100B,-132B
mar09.2007,CA Employment Change,14.0K,8.0K,89.0K
mar09.2007,CA Unemployment Rate,6.1%,6.2%,6.2%
mar09.2007,US Average Hourly Earnings m/m,0.4%,0.3%,0.2%
mar09.2007,US Non-Farm Employment Change,97K,100K,146K
mar09.2007,US Trade Balance,-59.1B,-59.5B,-61.5B
mar09.2007,US Unemployment Rate,4.5%,4.6%,4.6%
mar13.2007,US Retail Sales m/m,0.1%,0.3%,0.0%
mar14.2007,US Crude Oil Inventories,1.1M,2.0M,-4.8M
mar14.2007,US Distillate Inventories,-2.7M,-2.1M,-1.3M
mar14.2007,US Gasoline Inventories,-2.5M,-2.4M,-3.8M
mar15.2007,US Natural Gas Storage,-115B,-118B,-102B
mar16.2007,US Core CPI m/m,0.2%,0.2%,0.3%
mar16.2007,US CPI m/m,0.4%,0.3%,0.2%
mar16.2007,US Capacity Utilization Rate,82.0%,81.3%,81.4%
mar16.2007,US Industrial Production m/m,1.0%,0.3%,-0.3%
mar21.2007,US Crude Oil Inventories,3.9M,1.0M,1.1M
mar21.2007,US Distillate Inventories,-1.7M,-1.5M,-2.7M
mar21.2007,US Gasoline Inventories,-3.5M,-2.0M,-2.5M
mar22.2007,US Natural Gas Storage,17B,-1B,-115B
mar28.2007,US Crude Oil Inventories,-0.8M,2.1M,3.9M
mar28.2007,US Distillate Inventories,-0.7M,-1.6M,-1.7M
mar28.2007,US Gasoline Inventories,-0.3M,-2.1M,-3.5M
mar29.2007,US Natural Gas Storage,-22B,-18B,17B
mar30.2007,EZ Consumer Confidence,-4,-5,-5
apr02.2007,US ISM Manufacturing PMI,50.9,51.3,52.3
apr04.2007,US Factory Orders m/m,1.0%,1.9%,-5.7%
apr04.2007,US ISM Services PMI,52.4,54.8,54.3
apr04.2007,US Crude Oil Inventories,4.3M,0.5M,-0.8M
apr04.2007,US Distillate Inventories,-0.1M,-1.0M,-0.7M
apr04.2007,US Gasoline Inventories,5.0M,-0.2M,-0.3M
apr05.2007,CA Employment Change,54.9K,12.0K,14.2K
apr05.2007,CA Unemployment Rate,6.1%,6.1%,6.1%
apr05.2007,US Natural Gas Storage,58B,54B,-22B
apr06.2007,US Average Hourly Earnings m/m,0.3%,0.3%,0.4%
apr06.2007,US Non-Farm Employment Change,180K,135K,113K
apr06.2007,US Unemployment Rate,4.4%,4.6%,4.5%
apr11.2007,US Crude Oil Inventories,0.7M,1.7M,4.3M
apr11.2007,US Distillate Inventories,0.2M,-0.9M,-0.1M
apr11.2007,US Gasoline Inventories,-5.5M,-1.4M,5.0M
apr12.2007,US Natural Gas Storage,23B,18B,58B
apr13.2007,US Trade Balance,-58.4B,-60.2B,-58.9B
apr16.2007,US Retail Sales m/m,0.7%,0.4%,0.5%
apr17.2007,US Core CPI m/m,0.1%,0.2%,0.2%
apr17.2007,US CPI m/m,0.6%,0.6%,0.4%
apr17.2007,US Capacity Utilization Rate,81.4%,82.0%,81.6%
apr17.2007,US Industrial Production m/m,-0.2%,0.2%,0.8%
apr18.2007,US Crude Oil Inventories,-1.0M,0.7M,0.7M
apr18.2007,US Distillate Inventories,-0.8M,-0.9M,0.2M
apr18.2007,US Gasoline Inventories,-2.7M,-1.9M,-5.5M
apr19.2007,US Natural Gas Storage,-46B,-48B,23B
apr25.2007,US Crude Oil Inventories,2.1M,-1.5M,-1.0M
apr25.2007,US Distillate Inventories,0.0M,0.5M,-0.8M
apr25.2007,US Gasoline Inventories,-2.8M,-0.5M,-2.7M
apr26.2007,US Natural Gas Storage,18B,18B,-46B
apr27.2007,US Advance GDP q/q,1.3%,1.9%,2.5%
apr30.2007,EZ Consumer Confidence,-4,-4,-4
may01.2007,US ISM Manufacturing PMI,54.7,51.0,50.9
may02.2007,US Factory Orders m/m,3.1%,1.8%,1.4%
may02.2007,US Crude Oil Inventories,1.2M,1.5M,2.1M
may02.2007,US Distillate Inventories,-0.2M,0.3M,0.0M
may02.2007,US Gasoline Inventories,-1.1M,-1.3M,-2.8M
may03.2007,US ISM Services PMI,56.0,53.2,52.4
may03.2007,US Natural Gas Storage,87B,81B,18B
may04.2007,US Average Hourly Earnings m/m,0.2%,0.3%,0.3%
may04.2007,US Non-Farm Employment Change,88K,107K,177K
may04.2007,US Unemployment Rate,4.5%,4.5%,4.4%
may09.2007,US Crude Oil Inventories,5.5M,0.9M,1.2M
may09.2007,US Distillate Inventories,1.6M,0.5M,-0.2M
may09.2007,US Gasoline Inventories,0.4M,0.2M,-1.1M
may10.2007,US Trade Balance,-63.9B,-60.0B,-57.9B
may10.2007,US Natural Gas Storage,96B,96B,87B
may11.2007,CA Employment Change,-5.2K,18.5K,54.9K
may11.2007,CA Unemployment Rate,6.1%,6.1%,6.1%
may11.2007,US Retail Sales m/m,-0.2%,0.4%,1.0%
may15.2007,US Core CPI m/m,0.2%,0.2%,0.1%
may15.2007,US CPI m/m,0.4%,0.5%,0.6%
may16.2007,US Capacity Utilization Rate,81.6%,81.4%,81.2%
may16.2007,US Industrial Production m/m,0.7%,0.3%,-0.3%
may16.2007,US Crude Oil Inventories,1.1M,0.0M,5.5M
may16.2007,US Distillate Inventories,1.0M,1.3M,1.6M
may16.2007,US Gasoline Inventories,1.8M,1.0M,0.4M
may17.2007,US Natural Gas Storage,95B,97B,96B
may23.2007,US Crude Oil Inventories,2.0M,0.6M,1.1M
may23.2007,US Distillate Inventories,0.5M,1.3M,1.0M
may23.2007,US Gasoline Inventories,1.4M,1.2M,1.8M
may24.2007,US Natural Gas Storage,104B,96B,95B
may31.2007,EZ Consumer Confidence,-1,-4,-4
may31.2007,US Crude Oil Inventories,-2.0M,1.0M,2.0M
may31.2007,US Distillate Inventories,0.1M,0.7M,0.5M
may31.2007,US Gasoline Inventories,1.4M,1.5M,1.4M
may31.2007,US Natural Gas Storage,107B,105B,104B
jun01.2007,US Average Hourly Earnings m/m,0.3%,0.3%,0.2%
jun01.2007,US Non-Farm Employment Change,157K,135K,80K
jun01.2007,US Unemployment Rate,4.5%,4.5%,4.5%
jun01.2007,US ISM Manufacturing PMI,55.0,54.0,54.7
jun04.2007,US Factory Orders m/m,0.3%,0.7%,4.1%
jun05.2007,US ISM Services PMI,59.7,55.3,56.0
jun06.2007,US Crude Oil Inventories,0.1M,0.1M,-2.0M
jun06.2007,US Distillate Inventories,1.9M,0.9M,0.1M
jun06.2007,US Gasoline Inventories,3.5M,1.6M,1.4M
jun07.2007,US Natural Gas Storage,110B,105B,107B
jun08.2007,CA Employment Change,9.3K,16.0K,-5.2K
jun08.2007,CA Unemployment Rate,6.1%,6.1%,6.1%
jun08.2007,US Trade Balance,-58.5B,-63.5B,-62.4B
jun13.2007,US Retail Sales m/m,1.4%,0.6%,-0.1%
jun13.2007,US Crude Oil Inventories,0.1M,-0.3M,0.1M
jun13.2007,US Distillate Inventories,0.3M,1.7M,1.9M
jun13.2007,US Gasoline Inventories,0.0M,1.6M,3.5M
jun14.2007,US Natural Gas Storage,92B,98B,110B
jun15.2007,US Core CPI m/m,0.1%,0.2%,0.2%
jun15.2007,US CPI m/m,0.7%,0.6%,0.4%
jun15.2007,US Capacity Utilization Rate,81.3%,81.6%,81.5%
jun15.2007,US Industrial Production m/m,0.0%,0.1%,0.4%
jun20.2007,US Crude Oil Inventories,6.9M,0.0M,0.1M
jun20.2007,US Distillate Inventories,0.2M,0.9M,0.3M
jun20.2007,US Gasoline Inventories,1.8M,1.2M,0.0M
jun21.2007,US Natural Gas Storage,89B,88B,92B
jun27.2007,US Crude Oil Inventories,1.6M,1.6M,6.9M
jun27.2007,US Distillate Inventories,-2.3M,0.6M,0.2M
jun27.2007,US Gasoline Inventories,-0.7M,1.0M,1.8M
jun28.2007,US Natural Gas Storage,99B,84B,89B
jun29.2007,EZ Consumer Confidence,-2,-1,-1
jul02.2007,US ISM Manufacturing PMI,56.0,55.0,55.0
jul03.2007,US Factory Orders m/m,-0.5%,-0.9%,0.5%
jul05.2007,US ISM Services PMI,60.7,58.1,59.7
jul05.2007,US Crude Oil Inventories,3.2M,-0.2M,1.6M
jul05.2007,US Distillate Inventories,1.2M,0.5M,-2.3M
jul05.2007,US Gasoline Inventories,1.9M,0.5M,-0.7M
jul06.2007,CA Employment Change,34.8K,17.5K,9.3K
jul06.2007,CA Unemployment Rate,6.1%,6.1%,6.1%
jul06.2007,US Average Hourly Earnings m/m,0.3%,0.4%,0.4%
jul06.2007,US Non-Farm Employment Change,132K,125K,190K
jul06.2007,US Unemployment Rate,4.5%,4.5%,4.5%
jul06.2007,US Natural Gas Storage,78B,82B,99B
jul11.2007,US Crude Oil Inventories,-1.5M,0.0M,3.2M
jul11.2007,US Distillate Inventories,0.8M,0.9M,1.2M
jul11.2007,US Gasoline Inventories,1.1M,0.8M,1.9M
jul12.2007,US Trade Balance,-60.0B,-60.0B,-58.7B
jul12.2007,US Natural Gas Storage,106B,97B,78B
jul13.2007,US Retail Sales m/m,-0.9%,0.0%,1.5%
jul17.2007,US Capacity Utilization Rate,81.7%,81.5%,81.4%
jul17.2007,US Industrial Production m/m,0.5%,0.4%,-0.1%
jul18.2007,US Core CPI m/m,0.2%,0.2%,0.1%
jul18.2007,US CPI m/m,0.2%,0.1%,0.7%
jul18.2007,US Crude Oil Inventories,-0.4M,-0.5M,-1.5M
jul18.2007,US Distillate Inventories,-0.1M,0.9M,0.8M
jul18.2007,US Gasoline Inventories,-2.2M,0.9M,1.1M
jul19.2007,US Natural Gas Storage,65B,69B,106B
jul25.2007,US Crude Oil Inventories,-1.1M,-1.4M,-0.4M
